location,floor,name,品牌連結,資料來源網址,類別
板橋大遠百,1F,BOTTEGA VENETA,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=5609&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,Chloé,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=11418&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,CLUB DESIGNER,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=11477&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,COACH,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=11475&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,FERRAGAMO,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=2873&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,GINZA DIAMOND SHIRAISHI,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=9906&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,GUCCI,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=5608&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,HEARTS ON FIRE,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=11459&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,JOY COLORI,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=9375&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
板橋大遠百,1F,KENZO,https://www.feds.com.tw/tw/54/MallInfo/FloorStore?FloorId=60&StoreId=11670&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/54/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,國際精名品
