location,category,floor,name,description,detail_url,類別
桃園統領百貨,LIFE STYLE,1F,The Body Shop,綠色環保美妝品牌的先驅,https://www.tonlin.com.tw/Brand/brandPony?id=AFF9C11F98A5E585&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,SPA香氛
桃園統領百貨,LIFE STYLE,1F,LAFA 天堂費洛香,來自天堂的質感香氛,https://www.tonlin.com.tw/Brand/brandPony?id=67A5C6F0A024B564&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,SPA香氛
桃園統領百貨,LIFE STYLE,1F,NOZ LAB 韓系口袋香水,蒐集世界香氣，韓系最高 CP 值香水！,https://www.tonlin.com.tw/Brand/brandPony?id=BE13945B32EEAE94&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,SPA香氛
桃園統領百貨,LIFE STYLE,1F,VLens,台灣時尚美瞳專賣店的領導品牌,https://www.tonlin.com.tw/Brand/brandPony?id=8C005EE031D5EA73&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,1F,STUDIO A,台灣首家蘋果優質經銷商,https://www.tonlin.com.tw/Brand/brandPony?id=D154969A717A45A4&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,1F,VICXXO,韓國手機配件,https://www.tonlin.com.tw/Brand/brandPony?id=0B3C3F3734DEB21B&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,1F,The North Face,無論身在何處，探索永不停止,https://www.tonlin.com.tw/Brand/brandPony?id=4E51E5988A3B38A1&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,運動品牌服飾用品
桃園統領百貨,LIFE STYLE,1F,Nike 桃園體驗店,全桃園最大 NIKE 門市,https://www.tonlin.com.tw/Brand/brandPony?id=8F668263C94377BD&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,運動品牌服飾用品
桃園統領百貨,LIFE STYLE,1F,new balance,桃園最新 new balance 形象店,https://www.tonlin.com.tw/Brand/brandPony?id=FAF7B4D02043D806&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,運動品牌服飾用品
桃園統領百貨,LIFE STYLE,1F,CONVERSE,最高等及店鋪，獨家限量販售,https://www.tonlin.com.tw/Brand/brandPony?id=D56E43DA3C5C55BC&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,運動品牌服飾用品
桃園統領百貨,LIFE STYLE,1F,POP MART,泡泡瑪特販賣機,https://www.tonlin.com.tw/Brand/brandPony?id=E0958DFD18E86FD2&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,1F,良杯製所,耐用、美觀且具設計感的環保杯,https://www.tonlin.com.tw/Brand/brandPony?id=CEC917C3EA3C3D40&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,其他
桃園統領百貨,LIFE STYLE,2F,ABC-MART,來自日本大型流行鞋靴通路,https://www.tonlin.com.tw/Brand/brandPony?id=1B11FE547E8E69E9&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,服飾鞋款包類
桃園統領百貨,LIFE STYLE,3F,Life8,華人平價男裝的領導品牌,https://www.tonlin.com.tw/Brand/brandPony?id=D2E97C0F39DAA736&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,服飾鞋款包類
桃園統領百貨,LIFE STYLE,3F,24HRS,自在地穿著 24hrs,https://www.tonlin.com.tw/Brand/brandPony?id=E59890A8179C3771&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,女性內衣著
桃園統領百貨,LIFE STYLE,3F,日本橋3C,最新最熱門的手機、電腦配件專賣店,https://www.tonlin.com.tw/Brand/brandPony?id=D4B1F22504B53E79&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,3C電子用品
桃園統領百貨,LIFE STYLE,3F,微樂客,最前線唱片行品牌！逛最齊全的專輯和周邊！,https://www.tonlin.com.tw/Brand/brandPony?id=AFAA9B08F6B519B3&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,其他
桃園統領百貨,LIFE STYLE,4F,誠品生活,「人文、藝術、創意、生活」理念之商品、服務與空間。,https://www.tonlin.com.tw/Brand/brandPony?id=8A90FB626C6E4E61&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,4F,Game 休閒館,全台消費性娛樂第一品牌，讓生活更好玩,https://www.tonlin.com.tw/Brand/brandPony?id=C595F08A5928EF44&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,4F,楽玩多,販售各式卡通角色周邊的專家,https://www.tonlin.com.tw/Brand/brandPony?id=130CC756CB4071BE&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,4F,i color,100% 日本直送 全店 ＄49 均一價,https://www.tonlin.com.tw/Brand/brandPony?id=B7FBB631E02B57A8&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,LIFE STYLE,9F,威秀影城,給影迷們最多選擇的影城,https://www.tonlin.com.tw/Brand/brandPony?id=6FC48C6397F3522F&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,電影院
桃園統領百貨,LIFE STYLE,B1,DON DON DONKI,DON DON DONKI  桃園首店,https://www.tonlin.com.tw/Brand/brandPony?id=6411242BA77FE587&name=LIFE+STYLE&category_id=0D6E8A5F8F6FFDC9,專門店
桃園統領百貨,FASHION,1F,plain-me,台灣最具代表性的選貨店,https://www.tonlin.com.tw/Brand/brandPony?id=E47FF799FDD2ADDB&name=FASHION&category_id=AFF9C11F98A5E585,專門店
桃園統領百貨,FASHION,1F,KlassiC.,最有潮流精神的台灣眼鏡品牌,https://www.tonlin.com.tw/Brand/brandPony?id=4D6F1A5370383D5F&name=FASHION&category_id=AFF9C11F98A5E585,專門店
桃園統領百貨,FASHION,1F,Bonny&Read,讓女孩們擁有眾多流行的飾品選擇,https://www.tonlin.com.tw/Brand/brandPony?id=45EB3ECE089772E7&name=FASHION&category_id=AFF9C11F98A5E585,專門店
桃園統領百貨,FASHION,1F,MISS21,個性化，年輕創新女鞋,https://www.tonlin.com.tw/Brand/brandPony?id=87B5885F9F90C4B0&name=FASHION&category_id=AFF9C11F98A5E585,服飾鞋款包類
桃園統領百貨,FASHION,1F,CROCS,舒適與創新休閒鞋的領導品牌,https://www.tonlin.com.tw/Brand/brandPony?id=0D243F30E51BB40E&name=FASHION&category_id=AFF9C11F98A5E585,服飾鞋款包類
桃園統領百貨,FASHION,2F,LAKING,多樣化的服飾商品,https://www.tonlin.com.tw/Brand/brandPony?id=F337F20116C95E06&name=FASHION&category_id=AFF9C11F98A5E585,服飾鞋款包類
桃園統領百貨,FASHION,2F,Queen shop,全 方 位 生 活 概 念 服 飾 品 牌,https://www.tonlin.com.tw/Brand/brandPony?id=0D6E8A5F8F6FFDC9&name=FASHION&category_id=AFF9C11F98A5E585,服飾鞋款包類
