location,floor,name,品牌連結,資料來源網址,類別
遠百信義 A13,1F,ACREDO,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=12038&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,AMEDEO TESTONI,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=10573&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,AQUAZZURA,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=11334&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,AUDEMARS PIGUET,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9234&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,BALLY,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9233&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,BAO BAO ISSEY MIYAKE,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=10619&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,Cecilie Bahnsen,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=11867&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,CHANEL,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9707&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,Chloé,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9232&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,GLASSTIQUE,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9235&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,NEIGHBORHOOD,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=10972&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,SANDRO,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=12009&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,SIMONE ROCHA,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=10810&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,St.Dupont,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=11996&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,TORY BURCH,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=11952&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,Vivienne Diamant,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=11576&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,國際精名品
遠百信義 A13,1F,clé de peau BEAUTÉ 肌膚之鑰,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9110&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,彩妝保養
遠百信義 A13,1F,Dior 迪奧,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9122&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,彩妝保養
遠百信義 A13,1F,ESTĒE LAUDER 雅詩蘭黛,https://www.feds.com.tw/tw/55/MallInfo/FloorStore?FloorId=172&StoreId=9114&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/55/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floor,彩妝保養
