location,floor,name,品牌連結,資料來源網址,類別
遠百板橋,1F,BOBBI BROWN 芭比布朗,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5638&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,CHANEL 香奈兒,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5627&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,CLARINS 克蘭詩,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5637&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,clé de peau BEAUTÉ 肌膚之鑰,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5644&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,CLINIQUE 倩碧,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5642&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,COSME DECORTE,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=8532&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,COVERMARK,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=8463&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,Dior 迪奧,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=5629&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,ESTĒE LAUDER 雅詩蘭黛,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=8531&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
遠百板橋,1F,FORTE,https://www.feds.com.tw/tw/50/MallInfo/FloorStore?FloorId=44&StoreId=11791&tab=floor-1F&EntryPoint=info_floors&Source=Website,https://www.feds.com.tw/tw/50/MallInfo?tab=floor-1F&Source=Website&EntryPoint=info_floors,彩妝保養
